order_id,customer_name,restaurant,food_item,order_amount,delivery_time
1,Aryan Maharaj,Noodle Paradise,Ramen,61.25,27
2,Udant Dewan,KFC,Chicken Strips,112.79,16
3,Gagan Sami,Noodle Paradise,Ramen,315.72,12
4,Ayushman Chander,Dominos,Pepperoni Pizza,148.39,42
5,Viraj Tiwari,Taco Bell,Crunchy Taco,302.56,55
6,Rushil Saini,Noodle Paradise,Chow Mein,149.2,47
7,Saumya Mall,Biryani House,Chicken Biryani,391.46,20
8,Nathaniel Sami,Dragon Wok,Hakka Noodles,203.11,19
9,Arunima Dugal,KFC,Zinger Burger,95.99,34
10,Gayathri Chaudry,Pizza Hut,Paneer Pizza,431.37,48
11,Lajita Chatterjee,Biryani House,Chicken Biryani,378.38,44
12,Hemangini Lalla,Pizza Hut,Chicken Pizza,85.46,28
13,Tripti Yadav,Noodle Paradise,Pad Thai,309.81,55
14,Kritika Brar,Pizza Hut,Cheese Pizza,347.57,59
15,Janaki Handa,Biryani House,Chicken Biryani,434.89,16
16,Chakradev Kari,Spice Kitchen,Paneer Curry,254.03,33
17,Fariq Kaul,Subway,Turkey Sub,209.87,52
18,Lajita Mall,Biryani House,Chicken Biryani,324.11,20
19,Janya Gaba,Mc Donalds,Quarter Pounder,123.53,34
20,Isha Kadakia,Biryani House,Mutton Biryani,358.08,59
21,Ekbal Garg,Pasta Corner,Spaghetti Carbonara,153.07,12
22,Nihal Shere,Pasta Corner,Fettuccine Alfredo,230.52,14
23,Anamika Kanda,KFC,Zinger Burger,145.68,41
24,Daksh Karnik,Spice Kitchen,Rogan Josh,114.29,18
25,Diya Rattan,KFC,Zinger Burger,386.16,37
26,Dominic Kakar,Taco Bell,Quesadilla,212.9,18
27,Simon Tata,Mc Donalds,McSpicy,90.91,13
28,Tara Dhar,Pizza Hut,Super Cheese Pizza,332.35,60
29,Liam Koshy,Noodle Paradise,Chow Mein,318.38,34
30,Priya Rastogi,Spice Kitchen,Rogan Josh,288.1,45
31,Theodore Devi,Dominos,Pepperoni Pizza,356.77,44
32,Gavin Batta,Pasta Corner,Fettuccine Alfredo,395.87,31
33,Michael Dutta,Pizza Hut,Paneer Pizza,245.64,39
34,Devansh Rajan,Dominos,Veggie Pizza,487.35,58
35,Upadhriti Wadhwa,Subway,Veggie Sub,441.73,29
36,Advay Contractor,Noodle Paradise,Lo Mein,118.78,58
37,Harini Choudhury,Subway,Veggie Sub,319.53,41
38,Radhika Dugar,Dominos,Pepperoni Pizza,468.09,29
39,Aarush Lall,KFC,Chicken Bucket,158.39,46
40,Yashica Cherian,Pizza Hut,Cheese Pizza,379.36,14
41,Yashica Issac,Pasta Corner,Penne Arrabbiata,107.78,40
42,Kashvi Edwin,Mc Donalds,Quarter Pounder,169.28,48
43,Ekiya Suresh,Spice Kitchen,Aloo Gobi,468.01,58
44,Isaac Patil,Dragon Wok,Egg Noodles,370.83,35
45,Wriddhish Bhardwaj,Noodle Paradise,Pad Thai,247.15,43
46,Farhan Chada,Burger King,Whopper Burger,161.56,14
47,Ekapad Walia,Taj Mahal,Paneer Tikka,314.74,24
48,Kabir Soman,Taco Bell,Soft Taco,53.24,55
49,Alka Wable,Noodle Paradise,Ramen,153.02,12
